Month of Observation,Median Home Price (NSA)
1992-02-15,98890.410000000003
1992-03-15,99005.740000000005
1992-04-15,98919.240000000005
1992-05-15,99063.410000000003
1992-06-15,99380.580000000002
1992-07-15,99659.309999999998
1992-08-15,100226.38
1992-09-15,100428.21000000001
1992-10-15,100649.27
1992-11-15,100831.89
1992-12-15,100437.82000000001
1993-01-15,100178.32000000001
1993-02-15,99918.809999999998
1993-03-15,100505.10000000001
1993-04-15,101312.45
1993-05-15,101687.28999999999
1993-06-15,102417.75
1993-07-15,102436.97
1993-08-15,102927.14
1993-09-15,103090.53999999999
1993-10-15,103177.03999999999
1993-11-15,103407.71000000001
1993-12-15,103590.32000000001
1994-01-15,103513.42999999999
1994-02-15,103667.21000000001
1994-03-15,104340
1994-04-15,104878.23
1994-05-15,105426.08
1994-06-15,106002.75
1994-07-15,106098.86
1994-08-15,106454.48
1994-09-15,106252.64999999999
1994-10-15,106367.98
1994-11-15,106464.09
1994-12-15,106137.31
1995-01-15,106118.09
1995-02-15,106617.87
1995-03-15,106829.32000000001
1995-04-15,107329.11
1995-05-15,107742.39
1995-06-15,108501.67999999999
1995-07-15,108982.25
1995-08-15,109328.25
1995-09-15,109251.36
1995-10-15,109107.19
1995-11-15,109164.86
1995-12-15,109318.64
1996-01-15,109385.92
1996-02-15,109510.87
1996-03-15,110318.21000000001
1996-04-15,110827.61
1996-05-15,111413.89999999999
1996-06-15,111904.07000000001
1996-07-15,112259.69
1996-08-15,112278.91
1996-09-15,112221.25
1996-10-15,112115.52
1996-11-15,112221.25
1996-12-15,112240.47
1997-01-15,112105.91
1997-02-15,112346.19
1997-03-15,113249.64999999999
1997-04-15,113720.61
1997-05-15,114527.95
1997-06-15,114941.24000000001
1997-07-15,115210.35000000001
1997-08-15,115594.8
1997-09-15,115431.41
1997-10-15,115777.42
1997-11-15,115940.81
1997-12-15,115988.87
1998-01-15,116142.64999999999
1998-02-15,116940.38
1998-03-15,117805.39999999999
1998-04-15,118622.36
1998-05-15,119506.59
1998-06-15,120650.34
1998-07-15,120938.67
1998-08-15,121371.17999999999
1998-09-15,121832.52
1998-10-15,122072.8
1998-11-15,122601.42
1998-12-15,122812.87
1999-01-15,123254.99000000001
1999-02-15,123716.33
1999-03-15,124763.96000000001
1999-04-15,125667.42
1999-05-15,126888.05
